Algoritmo,Execução,Solução,Colisões,Iterações,Tempo (s)
Genetic Algorithm,1,"[4, 2, 7, 3, 6, 0, 5, 1]",0,423,0.0799252986907959
Genetic Algorithm,2,"[1, 7, 5, 0, 2, 4, 6, 3]",0,56,0.009379386901855469
Genetic Algorithm,3,"[3, 1, 6, 2, 5, 7, 4, 0]",0,153,0.022515296936035156
Genetic Algorithm,4,"[0, 3, 5, 7, 2, 4, 7, 1]",1,1000,0.16599273681640625
Genetic Algorithm,5,"[5, 0, 6, 1, 4, 2, 7, 3]",1,1000,0.1533372402191162
Genetic Algorithm,6,"[3, 6, 4, 1, 5, 0, 2, 7]",0,199,0.03120899200439453
Genetic Algorithm,7,"[7, 3, 0, 2, 5, 1, 6, 4]",0,82,0.01405477523803711
Genetic Algorithm,8,"[4, 7, 0, 2, 5, 1, 6, 3]",1,1000,0.1625356674194336
Genetic Algorithm,9,"[5, 3, 0, 0, 7, 4, 6, 1]",1,1000,0.156266450881958
Genetic Algorithm,10,"[4, 1, 3, 6, 2, 7, 5, 0]",0,29,0.004420042037963867
Genetic Algorithm,11,"[3, 5, 7, 1, 6, 0, 2, 4]",0,441,0.0741276741027832
Genetic Algorithm,12,"[4, 7, 1, 6, 2, 0, 6, 3]",1,1000,0.1566143035888672
Genetic Algorithm,13,"[6, 2, 0, 5, 7, 4, 1, 3]",0,391,0.06748008728027344
Genetic Algorithm,14,"[5, 2, 4, 7, 0, 3, 1, 6]",0,925,0.14374542236328125
Genetic Algorithm,15,"[2, 5, 3, 0, 7, 4, 6, 1]",0,19,0.0031871795654296875
Genetic Algorithm,16,"[5, 3, 6, 0, 7, 1, 4, 2]",0,659,0.10750460624694824
Genetic Algorithm,17,"[6, 4, 2, 0, 5, 7, 1, 3]",0,88,0.02123236656188965
Genetic Algorithm,18,"[4, 6, 1, 2, 5, 7, 0, 3]",1,1000,0.15225458145141602
Genetic Algorithm,19,"[3, 1, 7, 4, 6, 0, 2, 5]",0,6,0.0011463165283203125
Genetic Algorithm,20,"[3, 5, 0, 2, 0, 7, 1, 4]",1,1000,0.1545555591583252
Genetic Algorithm,21,"[3, 3, 6, 4, 2, 0, 5, 7]",1,1000,0.1759498119354248
Genetic Algorithm,22,"[3, 0, 6, 1, 2, 5, 7, 4]",1,1000,0.15227103233337402
Genetic Algorithm,23,"[3, 1, 6, 4, 0, 7, 5, 2]",0,808,0.1272716522216797
Genetic Algorithm,24,"[4, 0, 3, 6, 2, 5, 7, 1]",1,1000,0.14679813385009766
Genetic Algorithm,25,"[1, 4, 6, 0, 2, 7, 5, 3]",0,55,0.01031947135925293
Genetic Algorithm,26,"[5, 3, 0, 4, 7, 1, 6, 2]",0,950,0.15208148956298828
Genetic Algorithm,27,"[3, 0, 7, 1, 6, 5, 2, 4]",1,1000,0.1564779281616211
Genetic Algorithm,28,"[3, 1, 6, 5, 2, 4, 7, 0]",1,1000,0.15126514434814453
Genetic Algorithm,29,"[6, 2, 0, 5, 7, 4, 1, 3]",0,86,0.013268232345581055
Genetic Algorithm,30,"[4, 2, 0, 5, 7, 1, 3, 6]",0,341,0.05916714668273926
Genetic Algorithm,31,"[2, 7, 3, 6, 3, 5, 0, 4]",1,1000,0.1487588882446289
Genetic Algorithm,32,"[3, 5, 7, 2, 0, 6, 4, 1]",0,298,0.049282073974609375
Genetic Algorithm,33,"[4, 6, 3, 0, 2, 7, 5, 1]",0,936,0.1425189971923828
Genetic Algorithm,34,"[6, 3, 1, 7, 4, 0, 3, 5]",1,1000,0.15456151962280273
Genetic Algorithm,35,"[1, 5, 7, 2, 0, 3, 6, 4]",0,7,0.0013327598571777344
Genetic Algorithm,36,"[2, 5, 3, 0, 7, 4, 6, 1]",0,471,0.07446670532226562
Genetic Algorithm,37,"[2, 6, 1, 7, 0, 3, 7, 4]",1,1000,0.14903640747070312
Genetic Algorithm,38,"[4, 2, 7, 5, 1, 5, 0, 6]",1,1000,0.15300393104553223
Genetic Algorithm,39,"[4, 6, 0, 5, 7, 1, 6, 2]",1,1000,0.1521899700164795
Genetic Algorithm,40,"[2, 0, 3, 6, 4, 1, 1, 5]",1,1000,0.22773051261901855
Genetic Algorithm,41,"[3, 6, 4, 7, 2, 0, 5, 1]",1,1000,0.1654496192932129
Genetic Algorithm,42,"[5, 3, 0, 4, 7, 1, 6, 2]",0,357,0.057443857192993164
Genetic Algorithm,43,"[3, 6, 0, 7, 4, 1, 5, 2]",0,606,0.08867120742797852
Genetic Algorithm,44,"[3, 1, 4, 7, 5, 0, 2, 6]",0,705,0.10976433753967285
Genetic Algorithm,45,"[5, 3, 1, 7, 4, 6, 0, 2]",0,132,0.02546977996826172
Genetic Algorithm,46,"[3, 5, 7, 5, 1, 6, 4, 0]",1,1000,0.15499472618103027
Genetic Algorithm,47,"[4, 1, 5, 0, 6, 3, 7, 2]",0,220,0.04477572441101074
Genetic Algorithm,48,"[3, 0, 2, 5, 6, 1, 7, 4]",1,1000,0.1505293846130371
Genetic Algorithm,49,"[2, 0, 6, 3, 7, 4, 1, 5]",1,1000,0.15667080879211426
Genetic Algorithm,50,"[2, 7, 5, 0, 1, 4, 6, 3]",1,1000,0.16009926795959473
