Algoritmo,Execução,Solução,Colisões,Iterações,Tempo (s)
Stochastic Hill Climbing,1,"[6, 3, 1, 4, 7, 0, 2, 5]",0,107,0.0003178119659423828
Stochastic Hill Climbing,2,"[4, 2, 0, 6, 6, 1, 5, 7]",1,555,0.0014667510986328125
Stochastic Hill Climbing,3,"[4, 5, 0, 0, 3, 6, 2, 7]",2,557,0.0014717578887939453
Stochastic Hill Climbing,4,"[6, 4, 6, 1, 0, 2, 5, 7]",2,522,0.001566171646118164
Stochastic Hill Climbing,5,"[5, 1, 6, 3, 0, 4, 7, 2]",2,543,0.002440929412841797
Stochastic Hill Climbing,6,"[3, 6, 2, 7, 1, 7, 0, 6]",2,579,0.002765655517578125
Stochastic Hill Climbing,7,"[4, 7, 5, 2, 6, 1, 3, 0]",1,582,0.002530813217163086
Stochastic Hill Climbing,8,"[2, 6, 1, 7, 4, 0, 3, 5]",0,119,0.0005497932434082031
Stochastic Hill Climbing,9,"[0, 4, 0, 7, 5, 7, 1, 6]",2,555,0.002145528793334961
Stochastic Hill Climbing,10,"[7, 3, 0, 2, 7, 4, 6, 1]",2,514,0.0014331340789794922
Stochastic Hill Climbing,11,"[6, 3, 1, 7, 4, 0, 2, 5]",1,640,0.0016560554504394531
Stochastic Hill Climbing,12,"[6, 3, 0, 4, 7, 5, 2, 2]",1,569,0.0016045570373535156
Stochastic Hill Climbing,13,"[2, 5, 1, 6, 0, 3, 7, 4]",0,68,0.00022339820861816406
Stochastic Hill Climbing,14,"[6, 2, 5, 7, 1, 3, 6, 0]",2,558,0.0015048980712890625
Stochastic Hill Climbing,15,"[6, 4, 0, 1, 5, 2, 5, 7]",2,529,0.0018658638000488281
Stochastic Hill Climbing,16,"[1, 2, 7, 3, 4, 7, 5, 0]",3,521,0.0015215873718261719
Stochastic Hill Climbing,17,"[4, 2, 0, 5, 7, 1, 3, 6]",0,139,0.0003769397735595703
Stochastic Hill Climbing,18,"[5, 0, 6, 3, 5, 7, 1, 4]",1,590,0.0018410682678222656
Stochastic Hill Climbing,19,"[6, 3, 0, 2, 7, 5, 7, 1]",1,567,0.0023131370544433594
Stochastic Hill Climbing,20,"[2, 5, 1, 6, 4, 0, 7, 3]",0,22,9.679794311523438e-05
Stochastic Hill Climbing,21,"[3, 7, 4, 1, 5, 2, 0, 6]",1,536,0.0022008419036865234
Stochastic Hill Climbing,22,"[7, 1, 4, 0, 5, 3, 6, 2]",2,555,0.0022444725036621094
Stochastic Hill Climbing,23,"[5, 1, 6, 4, 7, 2, 0, 3]",1,557,0.0022461414337158203
Stochastic Hill Climbing,24,"[6, 3, 7, 1, 5, 0, 2, 4]",2,631,0.0025751590728759766
Stochastic Hill Climbing,25,"[4, 1, 5, 5, 2, 0, 7, 3]",1,523,0.0021953582763671875
Stochastic Hill Climbing,26,"[4, 6, 1, 3, 7, 5, 2, 2]",2,561,0.0023894309997558594
Stochastic Hill Climbing,27,"[6, 5, 0, 2, 4, 7, 3, 1]",2,510,0.002071380615234375
Stochastic Hill Climbing,28,"[7, 3, 0, 7, 5, 4, 6, 1]",2,521,0.0017955303192138672
Stochastic Hill Climbing,29,"[5, 1, 4, 0, 3, 6, 2, 2]",1,551,0.0014438629150390625
Stochastic Hill Climbing,30,"[2, 4, 1, 7, 0, 6, 3, 5]",0,193,0.0005018711090087891
Stochastic Hill Climbing,31,"[4, 3, 5, 2, 5, 1, 0, 7]",3,515,0.0013489723205566406
Stochastic Hill Climbing,32,"[5, 0, 3, 6, 2, 7, 1, 4]",1,531,0.0013675689697265625
Stochastic Hill Climbing,33,"[5, 2, 0, 7, 4, 1, 3, 6]",0,256,0.0006461143493652344
Stochastic Hill Climbing,34,"[4, 0, 7, 5, 3, 1, 6, 2]",2,519,0.0014061927795410156
Stochastic Hill Climbing,35,"[3, 6, 2, 7, 1, 7, 0, 2]",2,529,0.001379251480102539
Stochastic Hill Climbing,36,"[2, 4, 7, 0, 3, 6, 1, 5]",1,505,0.0013432502746582031
Stochastic Hill Climbing,37,"[4, 6, 0, 2, 7, 5, 3, 1]",0,118,0.0003445148468017578
Stochastic Hill Climbing,38,"[6, 4, 7, 1, 3, 2, 0, 7]",3,513,0.0014717578887939453
Stochastic Hill Climbing,39,"[4, 6, 1, 7, 1, 3, 0, 2]",2,526,0.001348733901977539
Stochastic Hill Climbing,40,"[5, 7, 0, 3, 1, 4, 6, 2]",3,504,0.0012979507446289062
Stochastic Hill Climbing,41,"[0, 3, 7, 4, 1, 5, 2, 6]",1,532,0.0014083385467529297
Stochastic Hill Climbing,42,"[6, 0, 1, 5, 4, 2, 7, 3]",2,517,0.0013492107391357422
Stochastic Hill Climbing,43,"[3, 1, 6, 2, 6, 4, 7, 0]",2,543,0.0014119148254394531
Stochastic Hill Climbing,44,"[1, 6, 1, 3, 0, 7, 4, 2]",1,539,0.0013582706451416016
Stochastic Hill Climbing,45,"[5, 0, 6, 3, 7, 7, 4, 2]",1,513,0.0013279914855957031
Stochastic Hill Climbing,46,"[6, 1, 3, 0, 7, 7, 4, 2]",1,522,0.0013365745544433594
Stochastic Hill Climbing,47,"[6, 0, 5, 1, 4, 7, 3, 2]",1,601,0.0015978813171386719
Stochastic Hill Climbing,48,"[0, 4, 2, 5, 3, 1, 7, 5]",2,507,0.0013082027435302734
Stochastic Hill Climbing,49,"[2, 5, 3, 1, 7, 4, 6, 0]",0,169,0.0004410743713378906
Stochastic Hill Climbing,50,"[2, 5, 7, 1, 3, 0, 6, 4]",0,92,0.0002486705780029297
